,name,What college are you at?,I identify as...,I want to be matched with people looking for...,I want to match with people who are,How do you feel about an open/polyamorous relationship?,What year are you in?,What years do you want to match with?,What do you study?,Where do you go?,How COVID-Secure is your Date?,What do you talk about?,How far do you go?,It's ok to leave friends on read,Capitalism has failed the planet,University COVID guidelines are too harsh,Sharking is predatory,Drug laws should be loosened,I am scared that if I express my opinions I will be cancelled,Pissing in the sink is normal,How smart are you compared to the average Oxford student?,Was clubbing a large part of your social life?,The Pre-Covid best night out was...,How do you feel about alcohol?,How do you feel about cigarettes?,Is music important in your relationships?,Who are your favourite musicians?,How stylish are you?,How outdoorsy are you?,How kinky are you compared to the average Oxford student?,Is sports important in your relationships?,How important is emotional vulnerability in your relationships?,Which of these traits is most important for you in a partner?,Which of these traits do you have most?,Which of these traits do you have least?,I would best describe my political views as being...,There are some political views I don't want to be matched with,I do not want to match with someone who is...,Best Chip Van in Oxford,Worst Subject,Sexiest JCR Position,Biggest Waste of Human Potential,Nicest College,Biggest Name On Campus,I want to enter a crush,My crush's first name is...,My crush's college is...,I do not want to match with someone from my college,I do not want to match with someone from my course,Is there a particular college you don't want a match from?,I don't want a match from...,How was the quiz?,Any feedback for next time?,Do you want to share any contact details with your match (other than your Oxford email)?,Submitted At,Token,Unnamed: 60,Unnamed: 61,Unnamed: 62
397,person 929,St John's College,Female,,Male,Happy either-way,Second,"Second, Third, Fourth + / Post Grad",Modern Languages,Drinks,"Live fast, die young",Sex,Horizontal,4,4,5,2,3,3,5,3,4,Park End / ATIK / WTF it's called,5,3,3,,3,4,1.0,1,1,Confidence,Sense of Humour,Ambition,Moderately left-wing,False,,Ahmed's,Music,Freshers Rep,OUCA,St Edmund Hall,,False,,,False,True,False,,4,add kebab king to the chip van options,True,2020-10-18 14:45:57,90parn573ec9f5r90parncsjtbd8suj9,,,
398,person 449,Oriel College,Male,,"Nonbinary, Female",Not interested,Fourth + / Post Grad,"Second, Third, Fourth + / Post Grad",History,Walk in the park,2 Metres,"Art, Music, Culture...",Peck on the cheek,3,5,4,4,4,4,1,3,1,,1,4,3,,5,4,,2,3,Sense of Humour,Kindness,Confidence,Catholic Communist,False,,Hassan's,Law (Jurisprudence),Welfare,The Union,St Benet's Hall,,False,,,True,True,False,,3,More questions!,False,2020-10-18 14:47:54,lc8o72vo923kusiuit4lc8o72vi4l9z1,,,
399,person 1873,St John's College,Male,,Male,Not interested,First,"First, Second, Third, Fourth + / Post Grad",Mathematics,Walk in the park,As long as it's legal,The Deep Stuff™,Peck on the cheek,3,3,3,3,2,3,5,4,2,,3,4,4,Sia,3,2,2.0,2,4,Kindness,Kindness,Ambition,I'm not political,True,"Very left-wing, Very conservative",Hassan's,"Philosophy, Politics and Economics (PPE)",President,Student Journalism,Worcester College,,True,did not enter oxmatch,Keble College,True,True,False,,4,No,False,2020-10-18 14:49:15,tlim0yuw129txxtlim3of6hn1s79fabx,,,
400,person 2644,Trinity College,Male,,Female,Not interested,First,First,"Philosophy, Politics and Economics (PPE)",Coffee,As long as it's legal,Politics,Peck on the cheek,3,2,4,5,2,2,1,3,2,,3,1,3,,3,3,1.0,2,4,Kindness,Kindness,Ambition,Moderate,False,,Hassan's,Archaeology and Anthropology,President,Rowing,Trinity College,,True,did not enter oxmatch,University College,True,True,False,,5,Nope,True,2020-10-18 14:49:46,mbti98dnr6la9fmbt45jwelsji4j545j,,,
401,person 708,The Queen's College,Male,,Female,Not interested,First,"First, Second",Chemistry,Dinner,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,2,4,2,4,4,3,2,3,1,,1,1,5,"J.S Bach, William Alwyn, Max Reger, Johannes Brahms",3,2,,1,3,Intelligence,Intelligence,Kindness,Moderately left-wing,True,"Sightly conservative, Moderately conservative, Very conservative",Hassan's,Theology and Religion,Welfare,The Union,Merton College,No idea,False,,,True,True,False,,4,No,True,2020-10-18 14:50:41,78msjbkbb2crvgpiwgd78msju5lj2lfd,,,
402,person 1895,Wadham College,Male,,Female,Happy either-way,Third,"Third, Second, First, Fourth + / Post Grad",Engineering Science,Drinks,"Live fast, die young","Art, Music, Culture...",Horizontal,3,3,4,3,4,1,5,4,5,Fever,3,2,3,,4,4,3.0,4,3,Ambition,Confidence,Sense of Humour,Sightly conservative,False,,Hassan's,Classics,Entz,OUCA,Magdalen College,,True,did not enter oxmatch,,True,True,False,,3,no,True,2020-10-18 14:51:18,heqbzi585wxibolheqy3pjxg8fxmkxyc,,,
403,person 418,Lincoln College,Male,,Female,Not interested,First,First,Physics,Coffee,2 Metres,"Art, Music, Culture...",Elbow Tap,3,4,2,5,4,2,2,3,1,,1,1,4,"ABBA, Arctic Monkeys, Avenged Sevenfold",2,3,,2,4,Kindness,Kindness,Ambition,Slightly left-wing,True,"Very conservative, Moderately conservative, Very left-wing",Hassan's,"Philosophy, Politics and Economics (PPE)",Entz,OUCA,The Queen's College,,False,,,True,True,False,,5,"Making the personality trait questions clearer - does worst mean a bad quality, or one that I lack?",False,2020-10-18 14:55:58,vb4n6rdftbt3os6vb4djtowz1408oprr,,,
404,person 3072,Brasenose College,Female,,"Male, Female",Happy either-way,Second,"First, Second, Third, Fourth + / Post Grad",Modern Languages and Linguistics,Dinner,As long as it's legal,"Art, Music, Culture...",Horizontal,3,3,3,4,3,3,2,3,4,Park End / ATIK / WTF it's called,5,3,2,,4,2,4.0,4,2,Ambition,Confidence,Ambition,Moderately left-wing,True,"Moderately conservative, Very conservative, Very left-wing",Hassan's,"Philosophy, Politics and Economics (PPE)",Entz,The Union,Brasenose College,Me,True,did not enter oxmatch,Christ Church,True,True,False,,5,Keep up the good word,False,2020-10-18 14:58:47,n1nqs9xghdfn1nqs7gc2w23jnw7calbx,,,
405,person 2710,Brasenose College,Female,,Male,Not interested,Second,"Second, Third",Biochemistry (Molecular and Cellular),Drinks,"Live fast, die young","Art, Music, Culture...",Horizontal,4,4,5,3,4,3,5,2,4,Park End / ATIK / WTF it's called,4,3,3,,3,3,3.0,2,3,Confidence,Ambition,Intelligence,Very left-wing,True,"Very conservative, Moderately conservative, Sightly conservative, I'm not political",Hassan's,Biochemistry (Molecular and Cellular),President,Rowing,Somerville College,Georgia Ofiaeli,False,,,False,False,False,,5,,False,2020-10-18 15:04:18,vntdkc8csnr5ae3qvnt1fdm6pz1vqcru,,,
406,person 1900,Hertford College,Male,,"Male, Female",Not interested,First,First,English Language and Literature,Coffee,As long as it's legal,"Art, Music, Culture...",Elbow Tap,3,5,4,4,3,2,2,3,1,,1,2,3,,2,3,2.0,1,4,Kindness,Intelligence,Confidence,Moderately left-wing,True,Very conservative,Hassan's,Mathematics,Entz,Rowing,New College,"I don't know, I've been here two weeks",False,,,False,True,False,,4,No particular issues,False,2020-10-18 15:05:51,j6tj7mvp3r86lj6tja5azo8pnr5jcn1b,,,
407,person 1300,Christ Church,Female,,Male,Not interested,First,"First, Second, Third",Music,Drinks,"Live fast, die young","Art, Music, Culture...",Peck on the cheek,3,2,5,3,5,2,2,3,4,Bridge,5,4,5,Literally anyone,3,3,,1,4,Sense of Humour,Sense of Humour,Confidence,Moderately conservative,True,"Very left-wing, Very conservative",McCoy's,Theology and Religion,Entz,Student Journalism,Christ Church,,False,,,False,False,False,,5,Nay,True,2020-10-18 15:07:29,6xbbpo1rlj2rezwcy6xbl3tnrfx7ibjq,,,
408,person 2962,Jesus College,Female,,Male,Happy either-way,Third,"Second, Third, Fourth + / Post Grad",English Language and Literature,Drinks,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,3,4,4,3,3,2,1,4,3,Park End / ATIK / WTF it's called,4,2,4,"Elbow, Snow Patrol, Nerina Pallot, the Japanese house",4,4,4.0,4,4,Sense of Humour,Sense of Humour,Confidence,Moderately left-wing,True,Very conservative,Hassan's,Economics and Management,Welfare,OUCA,Keble College,Angus Alder,False,,,True,True,False,,4,"Nope, thanks",True,2020-10-18 15:07:44,hp18ii1rdf5zfhp7f0oaqcpnaihbl7f0,,,
409,person 126,Jesus College,Female,,Male,Happy either-way,Third,"Second, Third, Fourth + / Post Grad",Classics,Drinks,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,4,3,5,3,3,2,1,3,4,Park End / ATIK / WTF it's called,5,1,3,,5,3,3.0,3,3,Sense of Humour,Sense of Humour,Confidence,Moderately left-wing,True,"Very conservative, Moderately conservative, I'm not political",Hassan's,Computer Science,Welfare,The Union,Jesus College,Angus Alder,True,person 1858,Jesus College,True,True,True,Harris Manchester College,5,don’t match me with someone clapped,False,2020-10-18 15:09:05,30xm5qm6jscilqdgl30xm5nbvxhx55cj,,,
410,person 3026,Balliol College,Female,,Male,Not interested,Second,"First, Second, Third, Fourth + / Post Grad","Philosophy, Politics and Economics (PPE)",Walk in the park,"Live fast, die young",The Deep Stuff™,Horizontal,2,4,5,2,5,3,1,3,4,Bridge,5,2,2,,1,4,1.0,5,3,Confidence,Ambition,Ambition,Moderately conservative,False,,Hassan's,Chemistry,President,OUCA,Magdalen College,Well it was Malala,False,,,True,True,False,,4,Nah,False,2020-10-18 15:09:17,totxzdv8ww5v12z0tot7ip3ixtcdx5q9,,,
411,person 2686,St Edmund Hall,Female,,"Male, Female, Nonbinary",Happy either-way,First,"First, Second",Geography,Coffee,"Live fast, die young",The Deep Stuff™,Elbow Tap,3,3,2,4,4,3,1,1,1,,5,1,4,"Blink 182, 1D, the Killers, Bruce Springsteen",1,4,1.0,2,1,Sense of Humour,Kindness,Confidence,Slightly left-wing,False,,Posh Nosh,Earth Sciences (Geology),Freshers Rep,Student Journalism,St Benet's Hall,,True,did not enter oxmatch,St Edmund Hall,True,True,False,,3,no,False,2020-10-18 15:11:45,1ajjhidx06dkj1qd1amgqlamnx2j5v9y,,,
412,person 1487,Christ Church,Male,,Female,Happy either-way,First,"First, Second",Economics and Management,Walk in the park,As long as it's legal,"Art, Music, Culture...",Horizontal,3,3,4,3,5,4,2,2,3,Bridge,4,2,4,J Cole,2,4,2.0,3,3,Sense of Humour,Sense of Humour,Confidence,Sightly conservative,False,,McCoy's,"Philosophy, Politics and Economics (PPE)",Entz,OUCA,St Edmund Hall,Alex Sarshar,False,,,False,True,False,,4,Decent tbf,True,2020-10-18 15:13:11,kmiukan2vmmhbsvoyskmiuwavq90kqz1,,,
413,person 496,Worcester College,Female,,Male,Not interested,First,First,Physics,Coffee,As long as it's legal,The Deep Stuff™,Elbow Tap,3,2,3,3,4,2,1,3,1,,4,1,2,,2,3,1.0,3,4,Sense of Humour,Ambition,Confidence,Moderate,False,,Hassan's,Fine Art,Entz,OUCA,Worcester College,Ibz Mo,False,,,True,True,True,Christ Church,4,no,True,2020-10-18 15:13:41,1ysx91bu46ogxcg1ysxofmrig51g48bk,,,
414,person 2771,Christ Church,Female,,Male,Not interested,First,First,History,Coffee,As long as it's legal,"Art, Music, Culture...",Elbow Tap,3,3,4,5,3,1,1,3,1,,3,2,5,"Blur, David Bowie, Manic street preachers",1,4,,1,4,Kindness,Kindness,Kindness,I'm not political,False,,McCoy's,Theology and Religion,Welfare,The Union,St John's College,,True,did not enter oxmatch,Christ Church,True,True,False,,4,No,False,2020-10-18 15:14:06,299qdhzg5d29v80x76x299qdhznr1zeg,,,
415,person 2693,St Edmund Hall,Female,,Male,Happy either-way,Third,"Third, Second",Law (Jurisprudence),Dinner,"Live fast, die young",The Deep Stuff™,Horizontal,4,3,4,3,5,3,5,1,3,Bullingdon,4,3,4,mac demarco,4,2,2.0,1,4,Sense of Humour,Kindness,Ambition,Moderately left-wing,False,,Ahmed's,Mathematics,Entz,Student Journalism,St Hilda's College,idk,False,,,False,False,False,,4,no,False,2020-10-18 15:14:52,f5ya07rr6off5yruv391ze6w0jslb9q1,,,
416,person 1995,Christ Church,Male,,"Male, Female, Nonbinary",Not interested,Fourth + / Post Grad,"Third, Fourth + / Post Grad",Medicine,Drinks,"Live fast, die young","Art, Music, Culture...",Horizontal,3,5,4,2,5,1,1,3,5,Bullingdon,5,2,5,drake,5,3,5.0,3,4,Kindness,Confidence,Confidence,Very left-wing,True,Very conservative,Ahmed's,Physics,Entz,OUCA,Worcester College,malala,False,,,True,True,False,,4,no,True,2020-10-18 15:16:37,h7o96zq5dh08d4j6wih7o96b9q54bpph,,,
417,person 2685,Mansfield College,Female,,Male,Not interested,Second,"Fourth + / Post Grad, Third, Second",Philosophy and Modern Languages,Coffee,As long as it's legal,The Deep Stuff™,Peck on the cheek,2,1,4,2,2,5,1,3,2,,4,3,2,,3,5,1.0,3,3,Intelligence,Intelligence,Ambition,Moderately conservative,True,Very left-wing,Hassan's,Fine Art,Entz,Rowing,Christ Church,J. R. R. Tolkien,False,,,False,True,False,,4,"The ""which year are you"" question is kind of hard to answer for VSPs. Maybe just ask about age?",False,2020-10-18 15:18:50,k79zo7rmqzsva16n5w20k79zo7087dmi,,,
418,person 2749,Brasenose College,Female,,"Male, Female, Nonbinary",Happy either-way,First,"First, Second, Third",Geography,Walk in the park,"Live fast, die young",The Deep Stuff™,Horizontal,3,5,1,4,5,2,5,1,3,Plush,4,1,5,I don’t really have favourites tbh,1,3,3.0,1,5,Kindness,Kindness,Intelligence,Moderately left-wing,True,Very conservative,Hassan's,Oriental Studies,Welfare,The Union,Worcester College,Eve Bennet,False,,,True,False,False,,5,No,False,2020-10-18 15:19:20,zto84sucz4v81azbdyzto84p03fnu13p,,,
419,person 2002,New College,Female,,Female,Not interested,Second,"First, Second, Third",Chemistry,Drinks,"Live fast, die young",The Deep Stuff™,Horizontal,1,5,5,1,5,4,5,5,5,Park End / ATIK / WTF it's called,5,1,4,,5,2,3.0,1,4,Kindness,Kindness,Ambition,Very left-wing,True,"Very conservative, Moderately conservative, Sightly conservative, Moderate",Hassan's,Geography,President,OUCA,Balliol College,,True,did not enter oxmatch,New College,True,True,False,,5,No,False,2020-10-18 15:20:06,y9x8n97ykreuoq568nsy9x8uvsivzzwf,,,
420,person 534,Wolfson College,Male,,Male,Not interested,Fourth + / Post Grad,Fourth + / Post Grad,Biomedical Sciences,Walk in the park,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,3,5,2,5,4,1,1,1,3,Plush,4,1,4,"Classical music, e.g. Beethoven, Mahler. Also Taylor Swift, Mariah Carey, Carly Rae Jepsen... Rihanna",4,3,,2,3,Kindness,Sense of Humour,Confidence,Moderately left-wing,True,"Very conservative, Moderately conservative, Sightly conservative",Hassan's,Other,Entz,OUCA,Magdalen College,idk,False,,,False,True,False,,5,Idk I was very happy with this tbh,False,2020-10-18 15:20:14,ldsq08lzcaj7e20ldsqcu79ez2c8rtzw,,,
421,person 2153,University College,Male,,Male,Happy either-way,Fourth + / Post Grad,"First, Second, Third, Fourth + / Post Grad",Medicine,Dinner,"Live fast, die young",Sex,Horizontal,5,3,5,1,4,4,5,5,5,Plush,1,1,3,,5,5,5.0,5,5,Kindness,Ambition,Sense of Humour,I'm not political,False,,Hassan's,Chemistry,Entz,Student Journalism,Magdalen College,Me,False,,,True,True,False,,5,Great survey,True,2020-10-18 15:20:32,vkzp5lxljq96p2fzxwy3ekvkzp5lwsko,,,
422,person 470,St Peter's College,Female,,Male,Not interested,Third,"Third, Fourth + / Post Grad",Law (Jurisprudence),Drinks,"Live fast, die young",The Deep Stuff™,Horizontal,3,3,3,2,2,1,3,3,4,Bridge,4,3,3,,3,4,5.0,3,4,Intelligence,Kindness,Ambition,Sightly conservative,False,,Posh Nosh,Computer Science,Welfare,The Union,Pembroke College,Cansu Uyguroglu,True,person 750,Regent's Park College,False,True,False,,5,No,True,2020-10-18 15:21:05,5b2pv3tvg2cve2b7kz25b2pvwzk06bh2,,,
423,person 1044,Oriel College,Male,,Male,Happy either-way,Second,"First, Second, Third, Fourth + / Post Grad",Chemistry,Drinks,"Live fast, die young","Art, Music, Culture...",Horizontal,3,4,2,3,4,2,4,3,4,Park End / ATIK / WTF it's called,4,2,2,,3,3,2.0,2,3,Kindness,Kindness,Confidence,Slightly left-wing,False,,Ahmed's,Fine Art,Freshers Rep,OUCA,Brasenose College,.,False,,,True,True,False,,4,no,False,2020-10-18 15:21:11,njy99akpig59onjy99xlin5pznub6u6l,,,
424,person 2624,Christ Church,Male,,Female,Not interested,Third,"First, Second, Third, Fourth + / Post Grad","Philosophy, Politics and Economics (PPE)",Drinks,As long as it's legal,"Art, Music, Culture...",Horizontal,3,3,4,4,3,1,2,4,3,Bullingdon,3,2,3,,4,3,3.0,2,4,Intelligence,Ambition,Sense of Humour,Moderate,True,"Very left-wing, Very conservative, Moderately conservative",Hassan's,Modern Languages,President,OUCA,St John's College,Ibz Mo,False,,,False,True,False,,3,Nah not reli,False,2020-10-18 15:21:20,72xteosxqe6g57k7mba72xteot18w4kv,,,
425,person 416,Lincoln College,Prefer not to say,Nonbinary,"Male, Female, Nonbinary",Happy either-way,Fourth + / Post Grad,"First, Second, Third, Fourth + / Post Grad",History of Art,Walk in the park,All virtual,Sex,Horizontal,2,5,1,5,2,3,1,5,2,,5,3,3,,5,1,5.0,3,5,Sense of Humour,Intelligence,Confidence,Moderately left-wing,True,Very conservative,Posh Nosh,History of Art,Entz,OUCA,Lincoln College,Princess Punjabi,True,did not enter oxmatch,Lady Margaret Hall,True,False,True,Christ Church,5,Lololololol,False,2020-10-18 15:21:28,d1tp0p7gqa0nd1tpyhda8s7qlvy9l7dq,,,
426,person 32,Lady Margaret Hall,Male,,"Male, Female, Nonbinary",Happy either-way,First,"First, Second, Third, Fourth + / Post Grad",Law (Jurisprudence),Dinner,As long as it's legal,Politics,Horizontal,4,3,3,3,2,2,2,3,3,Bridge,2,1,3,,3,3,3.0,3,3,Sense of Humour,Intelligence,Sense of Humour,Moderate,False,,Hassan's,Chemistry,Welfare,Rowing,Christ Church,N,False,,,False,True,False,,4,None,False,2020-10-18 15:21:34,891oz6j6elut7289lkq2ea4ro8w78vls,,,
427,person 241,Exeter College,Female,,Male,Not interested,First,"First, Second",Mathematics,Coffee,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,3,3,4,4,2,3,4,1,3,A night in,5,2,2,,3,3,,2,4,Kindness,Kindness,Confidence,Slightly left-wing,False,,Hassan's,History of Art,Freshers Rep,The Union,New College,??,False,,,True,True,False,,4,Fresher's don't know best night out/best chip van etc,False,2020-10-18 15:21:35,v7ux26h8v7ybvedvnfd8mgv2tzflfvsb,,,
428,person 968,Christ Church,Male,,Female,Not interested,Third,"Second, Third, Fourth + / Post Grad",Engineering Science,Walk in the park,2 Metres,"Art, Music, Culture...",Peck on the cheek,3,4,3,4,4,3,3,2,4,Bridge,3,2,4,Megadeth,3,3,3.0,3,4,Sense of Humour,Kindness,Confidence,Slightly left-wing,False,,Ahmed's,Computer Science,President,The Union,Exeter College,,False,,,True,True,False,,5,No,False,2020-10-18 15:21:37,vagb4oepwz25k1brp1r7vagb4omua0w1,,,
429,person 370,St Peter's College,Male,,Female,Not interested,Second,"First, Second, Third",Economics and Management,Drinks,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,2,2,4,2,4,3,5,3,2,,4,1,4,"The Killers, Arctic Monkeys, The Strokes, Foo Fighters, Catfish and the Bottlemen, Oasis",3,3,1.0,3,3,Sense of Humour,Kindness,Confidence,Sightly conservative,False,,Ahmed's,"Philosophy, Politics and Economics (PPE)",President,The Union,New College,,False,,,True,True,False,,4,No,True,2020-10-18 15:22:07,n2q7w2xei0bkzbfwae2vn2q7w2v4bkm8,,,
430,person 1260,University College,Male,,Female,Not interested,Third,"First, Second, Third, Fourth + / Post Grad",Chemistry,Drinks,As long as it's legal,The Deep Stuff™,Peck on the cheek,3,3,3,2,5,4,4,3,3,Fever,4,4,1,,2,4,2.0,2,5,Kindness,Kindness,Ambition,Slightly left-wing,False,,Ahmed's,Geography,Entz,OUCA,Keble College,,False,,,True,True,False,,4,Na,False,2020-10-18 15:22:48,9lxawvjm0ux0jlzoo8b29lxawaes5c3s,,,
431,person 2642,Jesus College,Male,,Female,Not interested,Third,"First, Second, Third, Fourth + / Post Grad",Engineering Science,Drinks,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,4,3,3,4,5,1,2,4,3,Bridge,5,1,5,"AC/DC, nirvana, foo fighters, a tribe called quest",5,4,2.0,1,4,Kindness,Sense of Humour,Confidence,Slightly left-wing,False,,Hassan's,Materials Science,Welfare,Student Journalism,Lincoln College,Angus Alder,True,did not enter oxmatch,Jesus College,False,True,False,,3,"More options for end of date between peck on cheek and horizontal, can an option be to run away",False,2020-10-18 15:22:56,t0vv71p135jfysbioh2v4szt0vv71p13,,,
432,person 1277,Oriel College,Male,,Female,Not interested,Second,"First, Second, Third",Physics,Walk in the park,"Live fast, die young",The Deep Stuff™,Peck on the cheek,1,3,4,4,4,4,5,3,4,Park End / ATIK / WTF it's called,5,1,4,D-Block Europe,3,4,4.0,3,3,Kindness,Kindness,Intelligence,Moderate,False,,Ahmed's,Geography,President,The Union,Brasenose College,Reuben Cooper,False,,,False,False,False,,5,Nope thx g,True,2020-10-18 15:25:32,k6wydp1pj3vmflk6wydr7av96lslvhv2,,,
433,person 2517,The Queen's College,Female,,Male,Not interested,First,"First, Second",Modern Languages,Dinner,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,3,3,3,3,3,2,5,2,3,Park End / ATIK / WTF it's called,3,3,5,"Pretty much Reggaeton, Latino music, Shakira but also good dance music",4,4,,4,4,Kindness,Ambition,Ambition,Moderately left-wing,True,Very conservative,Hassan's,Other,President,OUCA,Pembroke College,Moi lol,True,person 3088,St Hugh's College,True,True,False,,5,Keep it going,True,2020-10-18 15:26:04,0n5tox1vocivmas8dq90n5toxu3ubt7w,,,
434,person 2146,Exeter College,Male,,Male,Not interested,Fourth + / Post Grad,"Second, Third, Fourth + / Post Grad",Physics,Drinks,"Live fast, die young",The Deep Stuff™,Horizontal,3,4,5,5,1,3,1,3,3,Plush,4,3,1,,5,3,3.0,1,4,Kindness,Intelligence,Kindness,Moderately left-wing,True,"Very conservative, Moderately conservative",Hassan's,Classics,President,The Union,Wadham College,,False,,,True,False,False,,5,No feedback,False,2020-10-18 15:28:37,4jzh3m14fq08cvp47tqm035aw5b476lg,,,
435,person 359,Trinity College,Male,,Female,Not interested,Third,"Third, Second, First, Fourth + / Post Grad",Materials Science,Drinks,As long as it's legal,"Art, Music, Culture...",Horizontal,4,4,2,3,4,2,2,1,2,,4,2,4,"Oasis, Royal Blood, Muse, Skillet, Area 11",3,4,2.0,1,5,Sense of Humour,Sense of Humour,Confidence,Slightly left-wing,True,Very conservative,Hassan's,"Philosophy, Politics and Economics (PPE)",Entz,The Union,Magdalen College,,True,did not enter oxmatch,St Hugh's College,True,True,False,,4,None,False,2020-10-18 15:28:41,4gxl2qyseoj89hvn9cy4gxl2qlyj9hgg,,,
